;Nominal Diameter##LENGTH##MILLIMETERS;Length##LENGTH##MILLIMETERS;Shank##OTHER##;Large Washer##OTHER##;Material##OTHER##;Thread Material##OTHER##
M42 x 160 w/shank, Steel galvanized;42;160;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 170, Steel galvanized;42;170;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 170 w/shank, Steel galvanized;42;170;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 180, Steel galvanized;42;180;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 180 w/shank, Steel galvanized;42;180;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 190, Steel galvanized;42;190;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 190 w/shank, Steel galvanized;42;190;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 200, Steel galvanized;42;200;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 200 w/shank, Steel galvanized;42;200;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 220, Steel galvanized;42;220;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 220 w/shank, Steel galvanized;42;220;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 250, Steel galvanized;42;250;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 250 w/shank, Steel galvanized;42;250;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 260, Steel galvanized;42;260;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 260 w/shank, Steel galvanized;42;260;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 300, Steel galvanized;42;300;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 300 w/shank, Steel galvanized;42;300;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 360, Steel galvanized;42;360;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 360 w/shank, Steel galvanized;42;360;1;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 400, Steel galvanized;42;400;0;1;Steel galvanized;Steel galvanized, M42 thread
M42 x 400 w/shank, Steel galvanized;42;400;1;1;Steel galvanized;Steel galvanized, M42 thread
M45 x 90, Steel galvanized;45;90;0;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 90 w/shank, Steel galvanized;45;90;1;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 100, Steel galvanized;45;100;0;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 100 w/shank, Steel galvanized;45;100;1;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 110, Steel galvanized;45;110;0;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 110 w/shank, Steel galvanized;45;110;1;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 120, Steel galvanized;45;120;0;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 120 w/shank, Steel galvanized;45;120;1;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 130, Steel galvanized;45;130;0;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 130 w/shank, Steel galvanized;45;130;1;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 140, Steel galvanized;45;140;0;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 140 w/shank, Steel galvanized;45;140;1;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 150, Steel galvanized;45;150;0;1;Steel galvanized;Steel galvanized, M45 thread
M45 x 150 w/shank, Steel galvanized;45;150;1;1;Steel galvanized;Steel galvanized, M45 thread
M48 x 60, Steel galvanized;48;60;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 60 w/shank, Steel galvanized;48;60;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 70, Steel galvanized;48;70;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 70 w/shank, Steel galvanized;48;70;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 80, Steel galvanized;48;80;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 80 w/shank, Steel galvanized;48;80;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 90, Steel galvanized;48;90;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 90 w/shank, Steel galvanized;48;90;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 100, Steel galvanized;48;100;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 100 w/shank, Steel galvanized;48;100;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 110, Steel galvanized;48;110;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 110 w/shank, Steel galvanized;48;110;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 120, Steel galvanized;48;120;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 120 w/shank, Steel galvanized;48;120;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 130, Steel galvanized;48;130;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 130 w/shank, Steel galvanized;48;130;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 140, Steel galvanized;48;140;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 140 w/shank, Steel galvanized;48;140;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 150, Steel galvanized;48;150;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 150 w/shank, Steel galvanized;48;150;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 160, Steel galvanized;48;160;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 160 w/shank, Steel galvanized;48;160;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 170, Steel galvanized;48;170;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 170 w/shank, Steel galvanized;48;170;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 180, Steel galvanized;48;180;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 180 w/shank, Steel galvanized;48;180;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 190, Steel galvanized;48;190;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 190 w/shank, Steel galvanized;48;190;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 200, Steel galvanized;48;200;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 200 w/shank, Steel galvanized;48;200;1;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 420, Steel galvanized;48;420;0;1;Steel galvanized;Steel galvanized, M48 thread
M48 x 420 w/shank, Steel galvanized;48;420;1;1;Steel galvanized;Steel galvanized, M48 thread
M52 x 150, Steel galvanized;52;150;0;1;Steel galvanized;Steel galvanized, M52 thread
M52 x 150 w/shank, Steel galvanized;52;150;1;1;Steel galvanized;Steel galvanized, M52 thread
M52 x 200, Steel galvanized;52;200;0;1;Steel galvanized;Steel galvanized, M52 thread
M52 x 200 w/shank, Steel galvanized;52;200;1;1;Steel galvanized;Steel galvanized, M52 thread
M56 x 130, Steel galvanized;56;130;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 130 w/shank, Steel galvanized;56;130;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 140, Steel galvanized;56;140;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 140 w/shank, Steel galvanized;56;140;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 150, Steel galvanized;56;150;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 150 w/shank, Steel galvanized;56;150;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 160, Steel galvanized;56;160;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 160 w/shank, Steel galvanized;56;160;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 170, Steel galvanized;56;170;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 170 w/shank, Steel galvanized;56;170;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 190, Steel galvanized;56;190;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 190 w/shank, Steel galvanized;56;190;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 200, Steel galvanized;56;200;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 200 w/shank, Steel galvanized;56;200;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 220, Steel galvanized;56;220;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 220 w/shank, Steel galvanized;56;220;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 240, Steel galvanized;56;240;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 240 w/shank, Steel galvanized;56;240;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 250, Steel galvanized;56;250;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 250 w/shank, Steel galvanized;56;250;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 260, Steel galvanized;56;260;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 260 w/shank, Steel galvanized;56;260;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 280, Steel galvanized;56;280;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 280 w/shank, Steel galvanized;56;280;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 300, Steel galvanized;56;300;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 300 w/shank, Steel galvanized;56;300;1;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 380, Steel galvanized;56;380;0;1;Steel galvanized;Steel galvanized, M56 thread
M56 x 380 w/shank, Steel galvanized;56;380;1;1;Steel galvanized;Steel galvanized, M56 thread
M64 x 300, Steel galvanized;64;300;0;1;Steel galvanized;Steel galvanized, M64 thread
M64 x 300 w/shank, Steel galvanized;64;300;1;1;Steel galvanized;Steel galvanized, M64 thread
